GP,G,A,PTS,+/-,PS,PIM,SH,GWG,Player URL
1487,894,1963,2857,520,251.0,577,5088,91,https://www.hockey-reference.com/players/g/gretzwa01.html
1733,766,1155,1921,322,217.1,1167,5637,135,https://www.hockey-reference.com/players/j/jagrja01.html
1756,694,1193,1887,211,160.4,1912,4221,92,https://www.hockey-reference.com/players/m/messima01.html
1767,801,1049,1850,160,217.1,1685,3803,121,https://www.hockey-reference.com/players/h/howego01.html
1731,549,1249,1798,-18,149.3,977,3756,79,https://www.hockey-reference.com/players/f/francro01.html
1348,731,1040,1771,27,155.5,600,5363,73,https://www.hockey-reference.com/players/d/dionnma01.html
1514,692,1063,1755,184,166.6,924,4602,94,https://www.hockey-reference.com/players/y/yzermst01.html
915,690,1033,1723,114,167.9,834,3633,74,https://www.hockey-reference.com/players/l/lemiema01.html
1378,625,1016,1641,30,167.8,614,4621,86,https://www.hockey-reference.com/players/s/sakicjo01.html
1282,717,873,1590,252,163.7,910,5166,118,https://www.hockey-reference.com/players/e/esposph01.html
1612,410,1169,1579,527,242.7,1141,6209,60,https://www.hockey-reference.com/players/b/bourqra01.html
1714,430,1109,1539,182,163.1,1272,3068,68,https://www.hockey-reference.com/players/t/thornjo01.html
1652,577,956,1533,0,147.5,1033,3820,91,https://www.hockey-reference.com/players/r/recchma01.html
1409,396,1135,1531,298,185.7,1802,4389,43,https://www.hockey-reference.com/players/c/coffepa01.html
1216,565,964,1529,221,183.6,797,3893,88,https://www.hockey-reference.com/players/c/crosbsi01.html
1371,827,673,1500,65,198.6,803,6443,124,https://www.hockey-reference.com/players/o/ovechal01.html
1396,541,926,1467,329,143.5,1264,4482,84,https://www.hockey-reference.com/players/m/mikitst01.html
1451,684,773,1457,95,172.3,660,4540,110,https://www.hockey-reference.com/players/s/selante01.html
1279,524,901,1425,449,120.2,912,2841,69,https://www.hockey-reference.com/players/t/trottbr01.html
1337,341,1079,1420,33,117.0,415,2392,56,https://www.hockey-reference.com/players/o/oatesad01.html
1474,450,964,1414,129,118.6,1301,2834,56,https://www.hockey-reference.com/players/g/gilmodo01.html
1188,518,891,1409,-98,112.0,740,3754,49,https://www.hockey-reference.com/players/h/hawerda01.html
1251,601,797,1398,304,117.4,545,3149,72,https://www.hockey-reference.com/players/k/kurrija01.html
1431,668,726,1394,71,138.6,1177,3961,89,https://www.hockey-reference.com/players/r/robitlu01.html
1269,741,650,1391,23,154.6,458,4876,110,https://www.hockey-reference.com/players/h/hullbr01.html
1499,561,813,1374,114,144.9,926,4273,92,https://www.hockey-reference.com/players/m/modanmi01.html
1540,556,813,1369,-7,122.4,493,3087,92,https://www.hockey-reference.com/players/b/bucykjo01.html
1524,656,698,1354,151,148.0,2489,5086,109,https://www.hockey-reference.com/players/s/shanabr01.html
1126,560,793,1353,446,130.5,399,3516,98,https://www.hockey-reference.com/players/l/laflegu01.html
1346,564,785,1349,73,144.4,1093,4015,96,https://www.hockey-reference.com/players/s/sundima01.html
1639,640,698,1338,32,124.4,1121,4556,77,https://www.hockey-reference.com/players/a/andreda01.html
1196,473,865,1338,103,105.2,1336,3142,56,https://www.hockey-reference.com/players/s/savarde01.html
1432,708,627,1335,68,121.8,1159,5090,90,https://www.hockey-reference.com/players/g/gartnmi01.html
1294,515,812,1327,139,134.3,452,3154,86,https://www.hockey-reference.com/players/t/turgepi01.html
1191,512,814,1326,41,113.3,500,3077,81,https://www.hockey-reference.com/players/p/perregi01.html
1554,625,675,1300,30,157.9,1040,4759,101,https://www.hockey-reference.com/players/i/iginlja01.html
1550,456,825,1281,24,123.5,383,3129,75,https://www.hockey-reference.com/players/d/delveal01.html
1416,340,934,1274,371,195.0,1511,5157,44,https://www.hockey-reference.com/players/m/macinal01.html
1280,491,776,1267,236,118.9,276,2916,68,https://www.hockey-reference.com/players/r/ratelje01.html
1089,481,770,1251,46,146.9,1110,3552,83,https://www.hockey-reference.com/players/m/malkiev01.html
977,450,789,1239,-15,94.1,824,2374,54,https://www.hockey-reference.com/players/s/stastpe01.html
1182,452,786,1238,18,138.3,426,3921,68,https://www.hockey-reference.com/players/k/kanepa01.html
1495,338,894,1232,-53,170.7,822,3808,49,https://www.hockey-reference.com/players/h/houslph01.html
1410,490,739,1229,7,118.4,710,3426,59,https://www.hockey-reference.com/players/u/ullmano01.html
1125,507,712,1219,117,138.1,1033,2627,83,https://www.hockey-reference.com/players/b/belivje01.html
1615,288,929,1217,197,176.8,1084,3604,36,https://www.hockey-reference.com/players/m/murphla01.html
1363,513,703,1216,153,125.8,1463,3281,92,https://www.hockey-reference.com/players/r/roenije01.html
1144,358,852,1210,507,106.1,1453,2582,38,https://www.hockey-reference.com/players/c/clarkbo01.html
1127,475,734,1209,-39,96.8,1292,3231,35,https://www.hockey-reference.com/players/n/nichobe01.html
1378,432,773,1205,7,105.4,1188,3511,78,https://www.hockey-reference.com/players/d/damphvi01.html
1232,608,592,1200,-4,105.8,1425,3706,73,https://www.hockey-reference.com/players/c/ciccadi01.html
1779,566,631,1197,-27,133.8,527,4333,109,https://www.hockey-reference.com/players/m/marlepa01.html
1484,452,732,1184,-39,105.7,1100,3290,67,https://www.hockey-reference.com/players/b/brindro01.html
1248,483,696,1179,261,125.6,839,3985,93,https://www.hockey-reference.com/players/f/fedorse01.html
1063,610,560,1170,249,136.3,634,4577,98,https://www.hockey-reference.com/players/h/hullbo01.html
1316,403,762,1165,96,127.5,328,3149,68,https://www.hockey-reference.com/players/k/kopitan01.html
1246,444,713,1157,155,133.6,510,3471,73,https://www.hockey-reference.com/players/a/alfreda01.html
1089,548,605,1153,99,96.9,825,3145,63,https://www.hockey-reference.com/players/g/goulemi01.html
1564,264,878,1142,450,211.8,514,3875,35,https://www.hockey-reference.com/players/l/lidstni01.html
1309,525,609,1134,245,144.2,628,4229,85,https://www.hockey-reference.com/players/h/hossama01.html
1000,369,761,1130,-131,79.8,487,2074,40,https://www.hockey-reference.com/players/f/federbe01.html
752,573,553,1126,380,110.9,210,2709,80,https://www.hockey-reference.com/players/b/bossymi01.html
