Rank,Player,Years,PTS,GP,G,A,+/-,PS,PIM,SH,GWG,Player URL
1,Wayne Gretzky,1979-99,2857,1487,894,1963,520,251.0,577,5088,91,https://www.hockey-reference.com/players/g/gretzwa01.html
2,Jaromír Jágr,1990-18,1921,1733,766,1155,322,217.1,1167,5637,135,https://www.hockey-reference.com/players/j/jagrja01.html
3,Mark Messier,1979-04,1887,1756,694,1193,211,160.4,1912,4221,92,https://www.hockey-reference.com/players/m/messima01.html
4,Gordie Howe,1946-80,1850,1767,801,1049,160,217.1,1685,3803,121,https://www.hockey-reference.com/players/h/howego01.html
5,Ron Francis,1981-04,1798,1731,549,1249,-18,149.3,977,3756,79,https://www.hockey-reference.com/players/f/francro01.html
6,Marcel Dionne,1971-89,1771,1348,731,1040,27,155.5,600,5363,73,https://www.hockey-reference.com/players/d/dionnma01.html
7,Steve Yzerman,1983-06,1755,1514,692,1063,184,166.6,924,4602,94,https://www.hockey-reference.com/players/y/yzermst01.html
8,Mario Lemieux,1984-06,1723,915,690,1033,114,167.9,834,3633,74,https://www.hockey-reference.com/players/l/lemiema01.html
9,Joe Sakic,1988-09,1641,1378,625,1016,30,167.8,614,4621,86,https://www.hockey-reference.com/players/s/sakicjo01.html
10,Phil Esposito,1963-81,1590,1282,717,873,252,163.7,910,5166,118,https://www.hockey-reference.com/players/e/esposph01.html
11,Ray Bourque,1979-01,1579,1612,410,1169,527,242.7,1141,6209,60,https://www.hockey-reference.com/players/b/bourqra01.html
12,Joe Thornton,1997-22,1539,1714,430,1109,182,163.1,1272,3068,68,https://www.hockey-reference.com/players/t/thornjo01.html
13,Mark Recchi,1988-11,1533,1652,577,956,0,147.5,1033,3820,91,https://www.hockey-reference.com/players/r/recchma01.html
14,Paul Coffey,1980-01,1531,1409,396,1135,298,185.7,1802,4389,43,https://www.hockey-reference.com/players/c/coffepa01.html
15,Sidney Crosby,2005-24,1529,1216,565,964,221,183.6,797,3893,88,https://www.hockey-reference.com/players/c/crosbsi01.html
16,Alex Ovechkin,2005-24,1501,1372,827,674,65,198.6,803,6445,124,https://www.hockey-reference.com/players/o/ovechal01.html
17,Stan Mikita,1958-80,1467,1396,541,926,329,143.5,1264,4482,84,https://www.hockey-reference.com/players/m/mikitst01.html
18,Teemu Selänne,1992-14,1457,1451,684,773,95,172.3,660,4540,110,https://www.hockey-reference.com/players/s/selante01.html
19,Bryan Trottier,1975-94,1425,1279,524,901,449,120.2,912,2841,69,https://www.hockey-reference.com/players/t/trottbr01.html
20,Adam Oates,1985-04,1420,1337,341,1079,33,117.0,415,2392,56,https://www.hockey-reference.com/players/o/oatesad01.html
21,Doug Gilmour,1983-03,1414,1474,450,964,129,118.6,1301,2834,56,https://www.hockey-reference.com/players/g/gilmodo01.html
22,Dale Hawerchuk,1981-97,1409,1188,518,891,-98,112.0,740,3754,49,https://www.hockey-reference.com/players/h/hawerda01.html
23,Jari Kurri,1980-98,1398,1251,601,797,304,117.4,545,3149,72,https://www.hockey-reference.com/players/k/kurrija01.html
24,Luc Robitaille,1986-06,1394,1431,668,726,71,138.6,1177,3961,89,https://www.hockey-reference.com/players/r/robitlu01.html
25,Brett Hull,1986-06,1391,1269,741,650,23,154.6,458,4876,110,https://www.hockey-reference.com/players/h/hullbr01.html
26,Mike Modano,1989-11,1374,1499,561,813,114,144.9,926,4273,92,https://www.hockey-reference.com/players/m/modanmi01.html
27,Johnny Bucyk,1955-78,1369,1540,556,813,-7,122.4,493,3087,92,https://www.hockey-reference.com/players/b/bucykjo01.html
28,Brendan Shanahan,1987-09,1354,1524,656,698,151,148.0,2489,5086,109,https://www.hockey-reference.com/players/s/shanabr01.html
