Rank,Player,YRS PL,GM/YR,PTS/GM,GLS/GM,AST/GM,Correlation Games to Points
1,Wayne Gretzky,20,74.35,1.92,0.6,1.32,38.7
2,Jaromír Jágr,28,61.89,1.11,0.44,0.67,55.84
3,Mark Messier,25,70.24,1.07,0.4,0.68,65.36
4,Gordie Howe,34,51.97,1.05,0.45,0.59,49.64
5,Ron Francis,23,75.26,1.04,0.32,0.72,72.46
6,Marcel Dionne,18,74.89,1.31,0.54,0.77,57.0
7,Steve Yzerman,23,65.83,1.16,0.46,0.7,56.79
8,Mario Lemieux,22,41.59,1.88,0.75,1.13,22.09
9,Joe Sakic,21,65.62,1.19,0.45,0.74,55.1
10,Phil Esposito,18,71.22,1.24,0.56,0.68,57.43
11,Ray Bourque,22,73.27,0.98,0.25,0.73,74.8
12,Joe Thornton,25,68.56,0.9,0.25,0.65,76.36
13,Mark Recchi,23,71.83,0.93,0.35,0.58,77.4
14,Paul Coffey,21,67.1,1.09,0.28,0.81,61.75
15,Sidney Crosby,19,64.0,1.26,0.46,0.79,50.9
16,Alex Ovechkin,19,72.21,1.09,0.6,0.49,66.0
17,Stan Mikita,22,63.45,1.05,0.39,0.66,60.38
18,Teemu Selänne,22,65.95,1.0,0.47,0.53,65.68
19,Bryan Trottier,19,67.32,1.11,0.41,0.7,60.42
20,Adam Oates,19,70.37,1.06,0.26,0.81,66.26
21,Doug Gilmour,20,73.7,0.96,0.31,0.65,76.83
22,Dale Hawerchuk,16,74.25,1.19,0.44,0.75,62.6
23,Jari Kurri,18,69.5,1.12,0.48,0.64,62.19
24,Luc Robitaille,20,71.55,0.97,0.47,0.51,73.45
25,Brett Hull,20,63.45,1.1,0.58,0.51,57.89
26,Mike Modano,22,68.14,0.92,0.37,0.54,74.34
27,Johnny Bucyk,23,66.96,0.89,0.36,0.53,75.32
28,Brendan Shanahan,22,69.27,0.89,0.43,0.46,77.97
29,Guy Lafleur,20,56.3,1.2,0.5,0.7,46.85
30,Mats Sundin,19,70.84,1.0,0.42,0.58,70.68
31,Dave Andreychuk,24,68.29,0.82,0.39,0.43,83.65
32,Denis Savard,17,70.35,1.12,0.4,0.72,62.89
33,Mike Gartner,19,75.37,0.93,0.49,0.44,80.84
34,Pierre Turgeon,20,64.7,1.03,0.4,0.63,63.09
35,Gilbert Perreault,17,70.06,1.11,0.43,0.68,62.93
36,Jarome Iginla,21,74.0,0.84,0.4,0.43,88.46
37,Alex Delvecchio,24,64.58,0.83,0.29,0.53,78.15
38,Al MacInnis,23,61.57,0.9,0.24,0.66,68.43
39,Jean Ratelle,21,60.95,0.99,0.38,0.61,61.58
40,Evgeni Malkin,18,60.5,1.15,0.44,0.71,52.67
41,Peter Šťastný,15,65.13,1.27,0.46,0.81,51.36
42,Patrick Kane,17,69.53,1.05,0.38,0.66,66.38
43,Phil Housley,21,71.19,0.82,0.23,0.6,86.39
44,Norm Ullman,20,70.5,0.87,0.35,0.52,80.88
45,Jean Béliveau,21,53.57,1.08,0.45,0.63,49.44
46,Larry Murphy,21,76.9,0.75,0.18,0.58,102.06
47,Jeremy Roenick,21,64.9,0.89,0.38,0.52,72.75
48,Bobby Clarke,15,76.27,1.06,0.31,0.74,72.11
49,Bernie Nicholls,18,62.61,1.07,0.42,0.65,58.36
50,Vincent Damphousse,18,76.56,0.87,0.31,0.56,87.55
51,Dino Ciccarelli,19,64.84,0.97,0.49,0.48,66.57
52,Patrick Marleau,24,74.12,0.67,0.32,0.35,110.17
53,Rod Brind'Amour,21,70.67,0.8,0.3,0.49,88.57
54,Sergei Fedorov,19,65.68,0.94,0.39,0.56,69.53
55,Bobby Hull,23,46.22,1.1,0.57,0.53,41.99
56,Anže Kopitar,18,73.17,0.89,0.31,0.58,82.64
57,Daniel Alfredsson,19,65.58,0.93,0.36,0.57,70.62
58,Michel Goulet,15,72.6,1.06,0.5,0.56,68.57
59,Nicklas Lidström,21,74.48,0.73,0.17,0.56,102.0
60,Marián Hossa,20,65.45,0.87,0.4,0.47,75.55
61,Bernie Federko,14,71.43,1.13,0.37,0.76,63.21
62,Mike Bossy,10,75.2,1.5,0.76,0.74,50.22
63,Joe Nieuwendyk,21,59.86,0.9,0.45,0.45,66.82
64,Darryl Sittler,15,73.07,1.02,0.44,0.58,71.44
65,Frank Mahovlich,18,65.61,0.93,0.45,0.48,70.25
66,Glenn Anderson,16,70.56,0.97,0.44,0.53,72.49
67,Theo Fleury,15,72.27,1.0,0.42,0.58,72.0
68,Steven Stamkos,16,64.31,1.05,0.51,0.54,61.16
69,Henrik Sedin,18,73.89,0.8,0.18,0.62,91.84
70,Dave Taylor,17,65.35,0.96,0.39,0.57,67.92
71,Keith Tkachuk,19,63.21,0.89,0.45,0.44,71.28
